Musical,Song,Text
Sunday in the Park with George,The Day Off,The day off!
Sunday in the Park with George,The Day Off,Bonnet flapping
Sunday in the Park with George,The Day Off,Bustle sliding
Sunday in the Park with George,The Day Off,Like a rocking horse that nobody's been riding
Sunday in the Park with George,The Day Off,There's a daisy...
Sunday in the Park with George,The Day Off,And some clover...
Sunday in the Park with George,The Day Off,And that interesting fellow looking over...
Sunday in the Park with George,The Day Off,Nurse!
Sunday in the Park with George,The Day Off,One day is much like any other
Sunday in the Park with George,The Day Off,Listening to her snap and drone
Sunday in the Park with George,The Day Off,"Still, Sunday with someone's dotty mother"
Sunday in the Park with George,The Day Off,Is better then Sunday with your own
Sunday in the Park with George,The Day Off,"Mothers may drone, mothers may whine—"
Sunday in the Park with George,The Day Off,"Tending to his, though, is perfectly fine"
Sunday in the Park with George,The Day Off,It pays for the nurse that is tending to mine
Sunday in the Park with George,The Day Off,On Sunday—
Sunday in the Park with George,The Day Off,My day off
Sunday in the Park with George,The Day Off,"You know, Franz, I believe that artist is drawing us."
Sunday in the Park with George,The Day Off,Who?
Sunday in the Park with George,The Day Off,Monsieur's friend.
Sunday in the Park with George,The Day Off,Monsieur would never think to draw us! We are only people he looks down upon.
Sunday in the Park with George,The Day Off,Second bottle...
Sunday in the Park with George,The Day Off,"Ah, she looks for me..."
Sunday in the Park with George,The Day Off,He is bursting to go...
Sunday in the Park with George,The Day Off,Near the fountain...
Sunday in the Park with George,The Day Off,I could let him...
Sunday in the Park with George,The Day Off,How to manage it?
Sunday in the Park with George,The Day Off,No
Sunday in the Park with George,The Day Off,I should have been an artist. I was never intended for work.
Sunday in the Park with George,The Day Off,"Artists work, Franz. I believe they work very hard."
Sunday in the Park with George,The Day Off,Work!... We work.
Sunday in the Park with George,The Day Off,We serve their food
Sunday in the Park with George,The Day Off,We carve their meat
Sunday in the Park with George,The Day Off,We tend to their house
Sunday in the Park with George,The Day Off,We polish their
Sunday in the Park with George,The Day Off,Silverware
Sunday in the Park with George,The Day Off,The food we serve
Sunday in the Park with George,The Day Off,We also eat
Sunday in the Park with George,The Day Off,For them we rush
Sunday in the Park with George,The Day Off,Wash and brush
Sunday in the Park with George,The Day Off,Wipe and wax—
Sunday in the Park with George,The Day Off,"Franz, relax"
Sunday in the Park with George,The Day Off,"While he ""creates"""
Sunday in the Park with George,The Day Off,We scrape their plates
Sunday in the Park with George,The Day Off,And dust their knickknacks
Sunday in the Park with George,The Day Off,Hundreds to the shelf
Sunday in the Park with George,The Day Off,Work is what you do for others
Sunday in the Park with George,The Day Off,Liebchen
Sunday in the Park with George,The Day Off,Art is what you do for yourself
Sunday in the Park with George,The Day Off,Look!
Sunday in the Park with George,The Day Off,Where?
Sunday in the Park with George,The Day Off,Soldiers.
Sunday in the Park with George,The Day Off,Alone.
Sunday in the Park with George,The Day Off,What do you think? I like the one in the light hat.
Sunday in the Park with George,The Day Off,Mademoiselles
Sunday in the Park with George,The Day Off,I and my friend
Sunday in the Park with George,The Day Off,We are but soldiers!
Sunday in the Park with George,The Day Off,Passing the time
Sunday in the Park with George,The Day Off,In between wars
Sunday in the Park with George,The Day Off,For weeks at an end
Sunday in the Park with George,The Day Off,Both of them are perfect
Sunday in the Park with George,The Day Off,You can have the other
Sunday in the Park with George,The Day Off,I don't want the other
Sunday in the Park with George,The Day Off,I don't want the other either
Sunday in the Park with George,The Day Off,And after a week
Sunday in the Park with George,The Day Off,Spent mostly indoors
Sunday in the Park with George,The Day Off,With nothing but soldiers
Sunday in the Park with George,The Day Off,"Ladies, I and my friend"
Sunday in the Park with George,The Day Off,Trust we will not offend
Sunday in the Park with George,The Day Off,Which we'd never intend
Sunday in the Park with George,The Day Off,By suggesting we spend—
Sunday in the Park with George,The Day Off,"Oh, spend—!"
Sunday in the Park with George,The Day Off,This magnificent Sunday—
Sunday in the Park with George,The Day Off,"Oh, Sunday—"
Sunday in the Park with George,The Day Off,With you and your friend
Sunday in the Park with George,The Day Off,The one on the right's an awful bore
Sunday in the Park with George,The Day Off,He's been in a war
Sunday in the Park with George,The Day Off,We may get a meal and we might get more...
Sunday in the Park with George,The Day Off,It's certainly fine for Sunday...
Sunday in the Park with George,The Day Off,It's certainly fine for Sunday...
Sunday in the Park with George,The Day Off,It's certainly fine for Sunday...
Sunday in the Park with George,The Day Off,"You and me, pal"
Sunday in the Park with George,The Day Off,We're the loonies
Sunday in the Park with George,The Day Off,Did you know that?
Sunday in the Park with George,The Day Off,Bet you didn't know that
Sunday in the Park with George,The Day Off,Cause we tell them the truth!
Sunday in the Park with George,The Day Off,Who you drawing?
