Musical,Song,Text
Into the Woods,Prologue: Into the Woods,The journeying
Into the Woods,Prologue: Into the Woods,Into the woods...
Into the Woods,Prologue: Into the Woods,To see the King-
Into the Woods,Prologue: Into the Woods,To sell the cow-
Into the Woods,Prologue: Into the Woods,To make the potion-
Into the Woods,Prologue: Into the Woods,To see-
Into the Woods,Prologue: Into the Woods,To sell-
Into the Woods,Prologue: Into the Woods,To get-
Into the Woods,Prologue: Into the Woods,To bring-
Into the Woods,Prologue: Into the Woods,To make-
Into the Woods,Prologue: Into the Woods,To lift-
Into the Woods,Prologue: Into the Woods,To go to the Festival-!
Into the Woods,Prologue: Into the Woods,Into the woods!
Into the Woods,Prologue: Into the Woods,Into the woods!
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,Then out of the woods
Into the Woods,Prologue: Into the Woods,And home before dark!
Into the Woods,Cinderella At The Grave,"Cinderella had planted a branch at the grave of her mother and she visited there so often, and wept so much, that her tears watered it until it had become a handsome tree"
Into the Woods,Cinderella At The Grave,"I've been good and I've been kind, Mother"
Into the Woods,Cinderella At The Grave,Doing only what I learned from you
Into the Woods,Cinderella At The Grave,"Why, then, am I left behind, Mother"
Into the Woods,Cinderella At The Grave,Is there something more that I should do?
Into the Woods,Cinderella At The Grave,"What is wrong with me, Mother?"
Into the Woods,Cinderella At The Grave,Something must be wrong
Into the Woods,Cinderella At The Grave,I wish-
Into the Woods,Cinderella At The Grave,"What, child? Specify. Opportunity is not a lengthy visitor and good fortune, like bad, can befall when least expected"
Into the Woods,Cinderella At The Grave,I wish...
Into the Woods,Cinderella At The Grave,Do you know what you wish?
Into the Woods,Cinderella At The Grave,Are you certain what you wish
Into the Woods,Cinderella At The Grave,Is what you want?
Into the Woods,Cinderella At The Grave,If you know what you want
Into the Woods,Cinderella At The Grave,Then make a wish
Into the Woods,Cinderella At The Grave,Ask the tree
Into the Woods,Cinderella At The Grave,And you shall have your wish
Into the Woods,Cinderella At The Grave,"Shiver and quiver, little tree"
Into the Woods,Cinderella At The Grave,Silver and gold throw down on me
Into the Woods,Cinderella At The Grave,I'm off to get my wish...
Into the Woods,"Hello, Little Girl","Good day, young lady"
Into the Woods,"Hello, Little Girl","Good day, Mr. Wolf"
Into the Woods,"Hello, Little Girl",Mmmh...
Into the Woods,"Hello, Little Girl",Unhh...
Into the Woods,"Hello, Little Girl",Look at that flesh
Into the Woods,"Hello, Little Girl",Pink and plump
Into the Woods,"Hello, Little Girl","Hello, little girl..."
Into the Woods,"Hello, Little Girl",Tender and fresh
Into the Woods,"Hello, Little Girl",Not one lump
Into the Woods,"Hello, Little Girl","Hello, little girl..."
Into the Woods,"Hello, Little Girl",This one's especially lush
Into the Woods,"Hello, Little Girl",Delicious...
Into the Woods,"Hello, Little Girl","Hello, little girl"
Into the Woods,"Hello, Little Girl",What's your rush?
Into the Woods,"Hello, Little Girl",You're missing all the flowers
